Financial Year,Total Generation,Disposal,Recoverd locally (including Waste to Energy),Exports,Diversion Rate (%)
2015-2016,12325280.83,4138776.72,7017599.8,1168904.31,66.42
2016-2017,12619183.75,4199339,7257640.5,1162204.25,66.72
2017-2018,14042944.35,4392820.92,8330359.66,1319763.78,68.72
2018-2019,14758032.79,4536258.47,9050408.96,1171365.35,69.26
2019-2020,15494048.09,4763979.19,9572734.57,1157334.32,69.25
2020-2021,15810432.56,4691896.77,10109069.21,1009466.57,70.32
2021-2022,14434803,4525002.87,8873490.96,1036309.16,68.65
2022-2023,14463188.49,4517464.39,9030850.04,914874.05,68.77
2023-2024,14230336.35,4335414.7,8805250.57,1089671.08,69.53
